"특성별(1)",특성별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"특성별(1)",특성별(2),전체,전체,전체,전체,전체,전체,전체,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,박물관,박물관,박물관,박물관,박물관,박물관,박물관,박물관,박물관,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소
"특성별(1)",특성별(2),응답자수 (명),자연관광지 (%),박물관 (%),쇼핑 (%),문화유적 (%),기타명소 (%),기타 (%),응답자수 (명),한라산 (%),오름 (%),성산일출봉 (%),섬(우도/마라도 등) (%),올레길 (%),폭포(정방폭포 등) (%),동굴(만장굴 등) (%),해수욕장 (%),비자림 (%),한라수목원 (%),서귀포자연휴양림 (%),절물자연휴양림 (%),용두암 (%),주상절리대 (%),한림공원 (%),응답자수 (명),국립제주박물관 (%),도립미술관 (%),민속자연사박물관 (%),제주돌문화공원 (%),제주세계자연유산센터 (%),이중섭미술관 (%),서복전시관 (%),제주4.3평화공원 (%),응답자수 (명),동문시장 (%),중앙로지하상가 (%),바오젠거리 (%),제주5일장(제주/서귀포) (%),서귀포매일올레시장 (%),신라면세점 (%),롯데면세점 (%),제주관광공사면세점 (%),공항면세점(JDC면세점) (%),응답자수 (명),제주목관아 (%),항몽유적지 (%),성읍민속마을 (%),삼양동선사유적 (%),제주추사관 (%),관덕정 (%),이중섭거주지 (%),하멜기념비 (%),응답자수 (명),미로공원(김녕/메이지 등) (%),에코랜드 (%),제주경마공원 (%),불교사찰 (%),아쿠아플라넷 (%),테디베어박물관 (%),소인국테마파크 (%),잠수함관광(서귀포 등) (%),신비의도로 (%),생각하는정원 (%),드라마촬영지 (%),제주별빛누리공원 (%),유람선(요트투어포함) (%),제주바다체험장 (%),골프장 (%),카지노 (%),기타 (%)
"전체",소계,5990,92.8,20.7,76.5,23.3,50.3,24.9,5558,16.5,21.4,39.3,29.1,25.9,26.9,12.3,54.6,14.8,7.3,6.3,7.6,25.6,19.1,11.3,1237,16.7,10.1,23.4,16.9,8.0,40.0,2.7,10.8,4562,46.9,4.7,5.3,11.2,29.4,2.3,4.4,16.0,43.6,1398,5.4,5.8,34.8,2.6,4.8,11.0,43.6,15.8,3826,14.8,26.3,5.5,5.4,19.6,8.6,9.4,6.1,13.9,5.3,12.7,2.9,6.5,2.8,6.0,0.6,76.9
"거주지별",서울시,1622,91.8,20.4,73.4,22.0,45.2,22.3,1489,18.6,23.0,37.8,28.6,30.7,22.8,10.7,54.0,15.2,7.4,6.5,8.3,23.5,16.7,8.8,330,14.5,11.9,20.7,17.1,6.8,40.4,2.3,11.0,1190,46.3,5.3,5.4,11.4,26.5,2.5,3.9,14.2,44.0,357,8.6,5.8,32.6,3.4,5.1,11.5,44.8,14.5,944,12.8,23.8,6.3,5.2,17.8,8.4,7.5,6.2,15.6,6.0,11.7,3.2,6.1,2.6,7.6,0.9,69.9
"거주지별",부산시,508,93.8,24.9,80.0,28.5,50.7,28.0,477,19.9,21.6,43.2,27.5,21.6,33.9,14.4,51.2,16.1,9.8,7.9,10.2,29.1,19.7,12.3,126,16.6,7.7,23.1,14.4,8.1,44.1,2.9,6.7,406,48.3,7.8,5.9,12.1,28.3,1.6,6.5,17.5,43.6,145,12.4,3.7,32.0,2.5,5.1,11.8,48.8,13.0,345,16.2,26.2,6.0,4.8,18.2,8.1,11.2,7.7,16.0,5.7,12.5,4.1,5.0,1.7,8.2,0.8,86.6
"거주지별",대구시,233,94.1,24.3,77.6,25.7,49.1,28.6,219,19.2,18.7,41.6,29.2,29.7,30.5,16.1,57.1,11.5,8.3,9.2,6.6,24.5,24.2,10.3,57,21.9,4.9,14.8,11.1,5.2,45.6,4.7,24.1,181,41.7,5.2,2.5,13.7,31.6,2.7,4.7,17.2,40.4,60,5.8,3.1,32.6,6.1,3.3,11.4,45.9,18.7,154,9.9,23.1,7.8,6.2,23.7,10.4,7.0,3.9,11.3,4.7,13.5,2.4,8.3,4.0,8.2,0.5,84.1
"거주지별",인천시,343,94.4,18.7,81.8,22.6,55.2,25.5,324,10.5,20.3,41.0,27.1,26.9,31.0,11.6,61.0,16.6,7.3,5.6,8.0,28.6,20.8,15.9,64,18.6,6.5,33.0,10.7,5.2,39.3,5.4,10.5,281,47.6,4.3,3.2,15.9,36.7,2.1,4.2,14.8,41.4,78,9.5,9.7,39.1,0.0,1.9,12.8,38.4,17.0,231,16.1,23.7,4.7,6.6,18.9,6.8,8.1,6.0,14.4,8.9,19.5,3.3,8.4,2.9,4.8,0.0,75.7
"거주지별",광주시,282,89.8,19.4,82.7,26.9,59.9,22.7,253,12.9,21.2,36.7,35.8,26.7,24.8,12.2,51.6,14.7,9.1,7.1,6.9,29.4,17.9,15.8,55,16.9,7.4,22.9,17.9,16.0,46.3,0.0,14.2,233,47.9,1.5,5.7,14.7,29.2,2.4,4.1,20.4,49.9,76,3.6,0.0,35.4,0.0,2.8,12.5,58.5,18.4,202,21.4,31.2,5.8,3.3,21.4,9.7,12.9,3.2,11.1,4.1,12.2,2.3,8.3,4.2,5.2,1.0,60.6
"거주지별",대전시,170,95.7,18.2,77.9,20.3,46.6,25.4,163,12.5,17.1,36.8,20.1,23.7,19.7,8.8,58.9,11.4,3.6,3.9,4.3,25.7,21.0,8.9,31,15.9,10.7,18.5,23.4,6.9,63.8,3.5,7.6,132,38.3,4.3,11.3,8.1,31.3,2.9,3.9,8.9,54.9,35,6.3,4.7,36.1,0.0,3.3,7.4,47.7,17.8,99,8.9,38.7,7.6,2.8,25.3,10.8,17.1,6.3,21.9,3.7,9.4,0.7,1.6,0.0,2.1,3.0,87.9
"거주지별",울산시,122,91.2,19.6,83.3,30.9,58.8,35.7,111,12.6,18.6,40.9,30.5,25.4,25.4,8.6,52.9,10.8,8.8,6.1,8.1,35.7,16.2,15.6,24,21.8,10.5,21.9,12.0,0.0,64.4,3.2,0.0,101,29.5,4.1,5.1,5.2,34.0,0.7,7.3,16.5,42.8,38,10.2,2.2,45.9,3.1,5.5,5.1,40.5,16.3,85,8.0,25.4,4.9,5.6,22.8,10.6,14.8,3.5,7.0,13.9,13.1,1.8,7.6,6.4,4.5,0.0,99.0
"거주지별",경기도,1361,93.5,17.5,75.0,19.3,49.7,25.2,1273,16.3,20.9,37.2,29.3,24.8,27.4,11.2,56.7,17.0,4.7,4.7,6.3,25.3,18.1,9.4,238,15.0,8.9,23.8,15.1,8.7,37.0,3.8,9.0,1021,49.3,3.6,5.6,8.7,30.8,2.1,4.3,15.2,41.8,263,6.3,6.6,32.9,3.0,2.9,10.5,45.1,14.4,858,16.4,24.9,4.4,5.0,18.8,7.3,6.8,5.1,12.9,3.9,13.0,1.9,5.8,2.7,5.2,0.4,79.1
"거주지별",강원도,156,92.0,21.7,76.2,21.6,57.6,27.0,143,10.3,14.9,46.1,35.7,16.8,31.3,14.7,48.5,15.1,8.6,7.5,9.8,28.5,30.2,8.6,34,25.2,11.4,30.6,24.4,15.5,35.7,5.0,2.4,119,40.9,4.0,2.5,13.4,37.5,4.4,8.9,22.9,40.7,34,9.0,5.8,59.1,2.4,5.8,7.4,34.0,9.7,109,15.3,33.3,2.7,10.9,22.1,9.4,11.8,5.4,11.9,5.1,10.1,3.3,12.0,5.4,3.1,0.0,77.8
"거주지별",충청도,278,92.5,22.4,77.9,24.4,56.2,26.6,257,14.2,18.2,43.0,26.2,25.5,27.4,11.4,55.9,8.2,7.7,9.0,5.0,19.2,17.3,9.7,62,22.7,11.9,30.9,13.2,11.6,28.0,0.0,2.9,217,44.1,4.2,6.4,12.4,27.9,2.5,4.0,16.0,41.9,68,4.6,6.1,48.3,2.8,7.9,12.3,28.0,15.1,194,13.9,26.1,3.8,5.1,23.1,5.1,9.1,13.5,16.3,2.5,11.0,5.9,5.0,3.9,4.7,0.0,75.7
"거주지별",전라도,415,92.0,23.4,76.9,25.1,52.9,21.6,382,19.5,22.7,41.1,31.1,23.0,29.6,16.8,50.5,13.6,8.3,6.2,8.0,27.4,21.5,16.8,97,21.6,14.3,25.8,29.4,6.9,36.3,1.0,14.3,319,49.0,7.5,3.9,12.1,28.0,2.2,3.5,16.1,45.8,104,9.4,11.0,32.6,0.9,6.6,13.0,49.3,18.4,272,14.8,33.6,6.6,7.2,22.2,13.5,11.5,5.1,10.9,6.5,13.7,2.7,7.2,2.3,5.9,0.0,66.7
"거주지별",경상도,492,93.3,24.1,76.2,28.1,52.2,27.1,459,14.5,23.8,38.9,30.4,21.4,26.6,14.4,54.0,12.7,9.0,6.5,8.0,25.3,21.5,14.6,118,12.3,11.1,23.0,17.9,8.1,35.0,1.7,16.0,375,51.0,2.7,4.9,9.5,27.0,1.9,3.2,20.6,43.9,138,11.8,4.7,28.7,3.5,7.5,9.1,32.4,20.9,328,16.6,25.9,5.7,4.7,18.7,9.1,13.3,7.2,13.4,3.6,11.9,1.9,7.5,1.3,4.3,0.3,88.3
"거주지별",기타(국외),8,100.0,12.1,89.6,47.4,35.8,28.9,8,35.8,45.1,72.8,34.6,41.3,57.5,37.0,22.2,24.2,43.6,22.5,12.1,12.1,25.4,57.5,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,7,80.9,11.7,48.7,13.5,0.0,27.8,0.0,11.7,7.4,4,0.0,25.5,100.0,0.0,22.0,25.5,0.0,22.0,5,10.3,10.3,18.7,18.7,16.1,0.0,18.7,0.0,18.7,0.0,18.7,16.1,16.1,45.1,18.7,18.7,91.4
"성별",남자,2731,92.2,21.5,73.9,24.5,51.0,16.4,2519,19.0,21.5,41.4,27.7,28.5,29.3,13.3,51.7,14.0,8.4,7.8,7.6,27.9,19.9,11.9,588,17.6,7.5,26.6,14.8,10.0,34.2,3.7,10.9,2018,45.0,5.4,5.8,11.7,28.3,2.1,4.4,14.2,41.7,668,9.5,7.4,35.8,2.6,4.8,10.7,39.1,17.1,1637,15.8,26.0,6.6,5.7,20.9,7.6,9.4,6.9,16.5,5.4,13.5,2.8,7.0,3.6,9.4,0.8,49.6
"성별",여자,3259,93.3,19.9,78.7,22.4,49.8,32.1,3039,14.4,21.3,37.5,30.3,23.8,25.0,11.4,57.0,15.4,6.4,5.2,7.6,23.8,18.4,10.8,649,15.8,12.5,20.5,18.8,6.2,45.2,1.8,10.7,2563,48.4,4.1,4.9,10.7,30.2,2.4,4.4,17.5,45.2,730,7.3,4.3,33.8,2.7,4.8,11.4,47.6,14.7,2189,14.1,26.5,4.7,5.1,18.7,9.3,9.4,5.5,12.0,5.2,12.1,2.9,6.2,2.1,3.4,0.4,97.3
"연령별",15~20세,311,90.3,19.7,68.8,16.3,53.7,34.9,281,12.7,13.8,38.7,25.5,22.6,22.6,14.6,59.5,9.0,9.7,5.8,3.2,27.6,17.3,11.1,61,17.3,10.6,25.1,17.8,4.4,44.4,0.0,18.8,214,43.7,8.5,8.0,11.4,31.7,4.3,5.0,13.5,43.2,51,7.5,10.2,20.9,1.8,0.0,14.6,42.6,22.1,217,22.1,25.5,5.2,0.4,18.4,12.6,21.0,2.2,13.0,7.3,10.6,2.1,3.9,1.6,2.3,0.9,105.0
"연령별",21~30세,1958,94.7,14.5,77.8,18.6,40.8,28.8,1854,12.5,20.0,39.6,34.1,21.2,26.8,10.8,66.4,15.7,4.7,3.3,5.3,22.0,14.2,8.0,285,12.3,12.2,12.6,14.5,2.3,47.9,2.5,12.4,1524,49.8,4.9,5.8,7.4,32.5,1.5,3.3,13.7,45.4,364,5.8,3.3,22.0,2.2,2.3,10.3,54.1,15.9,1150,15.2,22.4,3.4,3.1,17.1,6.9,7.1,2.3,11.3,3.0,14.1,2.7,3.4,1.8,1.8,0.3,99.5
"연령별",31~40세,1731,93.1,17.9,77.1,20.9,53.0,27.9,1613,13.5,21.8,37.2,25.5,21.1,27.8,11.1,57.9,14.1,4.3,5.2,6.4,24.2,17.3,10.6,310,15.0,12.9,19.1,14.6,4.8,42.8,2.2,9.7,1334,45.3,3.7,4.4,8.8,32.1,2.4,4.1,18.6,44.6,361,7.6,4.3,26.0,2.7,4.6,7.6,45.8,15.8,1153,14.1,26.3,4.3,5.5,25.3,11.1,9.5,8.5,12.4,3.6,12.3,2.9,6.6,2.5,2.7,0.7,84.9
"연령별",41~50세,1213,90.1,24.8,75.3,26.8,56.5,19.1,1093,21.4,23.6,38.8,27.0,30.1,24.7,14.1,42.4,14.7,9.1,7.7,8.5,29.7,23.9,12.5,301,16.3,10.1,26.3,12.8,10.8,38.4,3.5,11.0,914,44.8,3.6,5.2,13.4,23.7,2.3,5.4,18.6,41.7,325,8.3,6.4,44.8,2.1,5.1,9.4,37.0,16.5,800,14.6,30.2,7.3,6.3,18.9,9.1,9.7,6.2,16.4,5.9,11.4,2.7,7.9,3.3,13.1,0.4,51.8
"연령별",51~60세,591,91.7,34.3,76.8,37.1,57.4,14.7,542,30.7,25.4,42.7,32.0,41.7,30.2,14.3,35.9,17.4,15.1,14.8,16.5,32.4,29.0,20.1,203,20.7,6.2,30.5,27.9,14.4,35.5,3.5,8.8,454,47.4,7.0,5.6,21.9,23.9,3.1,5.5,14.8,39.5,219,11.8,8.8,49.6,3.3,9.1,16.4,38.2,15.4,390,12.9,28.5,9.8,10.3,14.3,4.3,8.4,9.0,19.0,11.7,13.8,3.8,11.2,5.4,11.7,1.6,37.9
"연령별",61세 이상,185,95.2,42.3,76.7,42.2,57.2,10.4,176,17.6,17.0,49.4,19.8,50.9,30.8,17.8,24.7,12.4,23.0,15.4,16.0,27.9,29.7,19.2,78,29.8,1.2,49.3,22.1,17.5,14.1,2.4,6.8,142,48.4,6.1,4.3,24.1,20.1,5.1,8.3,8.7,41.9,78,15.6,9.7,60.1,5.3,7.5,19.9,27.5,10.3,115,13.8,31.9,12.0,12.3,13.7,2.8,10.8,16.6,23.2,15.3,12.2,3.2,16.9,5.4,17.8,0.0,26.0
"방문목적별",휴가 및 순수여행,4811,95.4,20.4,77.4,23.1,52.6,27.6,4588,15.2,21.0,41.0,30.8,24.9,28.1,12.4,58.3,15.4,6.8,6.0,7.2,25.1,19.3,10.9,981,16.9,8.9,22.1,15.9,7.0,42.7,2.2,8.8,3724,47.9,3.7,4.0,9.4,32.3,2.0,4.0,16.7,42.8,1113,7.1,5.0,33.1,2.2,4.1,8.9,46.1,16.6,3233,15.5,26.8,5.2,4.6,20.3,8.6,9.6,6.1,13.0,4.9,12.8,2.4,6.2,2.7,4.8,0.4,82.7
"방문목적별",비즈니스여행,627,81.7,19.5,72.6,23.8,37.3,10.9,513,23.8,24.4,27.2,19.3,32.1,18.2,9.5,34.7,10.8,8.9,7.8,8.3,27.2,18.3,11.3,122,14.9,16.4,26.8,14.1,17.2,28.0,7.2,15.2,455,37.2,5.9,12.2,15.0,15.9,4.8,7.4,15.4,49.1,149,13.9,8.7,41.9,4.1,8.0,18.0,32.4,11.9,281,10.0,24.0,5.6,8.2,12.2,6.8,5.9,7.1,20.0,5.7,12.1,2.7,7.7,3.5,17.5,2.1,41.0
"방문목적별",기타여행,551,83.0,24.4,73.0,24.6,45.6,17.8,457,21.1,22.2,36.0,23.0,29.1,24.2,14.0,38.9,12.9,11.1,8.8,10.2,29.4,18.4,15.4,134,17.1,13.1,30.2,27.1,7.2,31.4,2.2,21.3,402,48.4,12.5,9.6,22.9,17.5,2.2,5.0,10.9,44.7,136,12.6,8.3,40.5,4.3,7.4,20.8,35.2,13.8,312,12.8,23.3,9.1,10.3,19.6,9.7,9.9,5.1,18.6,8.7,12.2,7.4,8.9,3.1,7.2,0.9,49.4
"여행형태별",개별여행,5557,93.1,20.3,76.8,23.0,49.8,25.4,5173,16.4,21.9,39.5,29.3,25.8,26.9,12.0,55.5,15.3,6.9,6.2,7.4,25.2,18.5,10.8,1125,16.1,10.3,22.7,16.5,7.9,42.1,2.9,10.7,4267,48.0,4.8,5.3,11.2,30.3,2.4,4.1,15.6,43.4,1277,8.6,5.8,32.9,2.8,4.8,11.3,45.8,15.6,3544,15.5,26.8,5.2,4.6,20.3,8.6,9.6,6.1,13.0,4.9,12.8,2.4,6.2,2.7,4.8,0.4,79.0
"여행형태별",완전패키지여행,299,88.3,26.3,70.4,25.6,58.8,17.3,264,20.6,14.1,39.0,25.4,30.5,26.5,19.6,34.7,5.7,16.1,9.3,8.5,31.6,31.0,16.0,79,26.9,7.1,38.0,27.2,11.0,9.2,1.0,9.5,211,30.2,4.4,5.6,10.1,12.2,2.1,10.0,22.6,48.3,77,8.1,5.2,65.9,1.0,5.7,12.1,9.6,13.9,198,10.0,24.0,5.6,8.2,12.2,6.8,5.9,7.1,20.0,5.7,12.1,2.7,7.7,3.5,17.5,2.1,41.4
"여행형태별",부분패키지여행,134,89.9,24.7,78.1,33.8,52.4,23.4,120,12.1,15.1,31.4,29.0,20.0,29.8,7.9,56.0,13.6,7.2,6.7,11.5,32.6,17.0,20.9,33,12.2,9.9,15.1,8.3,5.1,43.0,0.0,16.1,104,37.0,3.0,6.2,12.6,26.4,0.0,6.0,20.6,42.7,45,1.8,5.1,34.3,0.0,5.1,2.6,39.6,26.8,84,12.8,23.3,9.1,10.3,19.6,9.7,9.9,5.1,18.6,8.7,12.2,7.4,8.9,3.1,7.2,0.9,73.9
"방문횟수별",1회,1955,93.5,19.2,77.4,20.8,53.9,29.0,1828,12.4,15.9,44.3,29.9,20.6,33.7,14.2,58.8,12.2,6.7,5.5,5.2,28.8,21.4,11.0,375,16.3,8.3,23.6,17.0,5.0,36.6,3.5,8.5,1514,44.7,3.8,4.8,8.1,32.8,2.0,4.3,17.3,42.7,407,7.5,5.1,31.2,2.1,2.8,9.2,43.4,16.0,1325,16.0,24.7,5.5,3.6,21.2,8.7,11.4,6.2,14.2,4.5,14.8,2.0,6.1,2.6,2.0,0.3,88.4
"방문횟수별",2회,1559,93.7,17.9,74.2,21.3,50.1,28.3,1461,13.7,18.3,39.3,30.7,23.9,26.8,12.7,57.8,14.8,6.1,5.5,6.7,24.1,17.9,10.0,279,17.5,6.9,22.2,13.5,4.9,43.2,1.2,10.8,1156,47.6,3.3,3.4,7.8,31.3,2.2,3.9,16.6,44.9,331,8.7,2.7,38.4,2.8,3.7,5.8,39.5,15.0,1022,14.8,28.0,5.0,4.6,20.1,7.9,8.6,5.9,12.0,4.2,13.3,1.9,7.2,2.9,3.2,0.3,86.7
"방문횟수별",3회,953,94.6,20.5,78.7,24.0,46.1,23.5,902,17.5,25.2,37.1,29.4,27.4,21.8,10.8,53.6,15.2,6.7,6.8,8.9,25.1,19.7,11.1,195,14.7,11.3,20.6,18.4,11.2,37.0,3.0,12.6,751,48.1,4.7,4.5,10.8,29.5,2.2,5.5,14.6,45.4,229,7.4,7.4,25.9,2.0,6.0,12.1,46.5,18.8,568,14.6,26.3,5.1,5.1,20.1,7.5,7.8,5.8,12.9,5.1,10.1,3.5,5.4,2.1,7.0,1.4,76.2
"방문횟수별",4회 이상,1523,89.8,25.5,76.3,28.3,48.7,17.1,1367,24.2,29.5,34.0,26.2,34.2,21.4,10.2,46.1,17.9,9.9,8.1,10.9,23.4,17.0,13.2,388,17.5,13.6,25.6,18.6,11.7,42.4,2.8,12.1,1162,48.4,7.3,8.3,18.7,22.8,2.8,4.4,14.7,42.4,432,9.6,7.9,40.0,3.4,7.0,16.3,45.4,14.7,911,13.4,26.7,6.4,8.9,16.6,9.7,8.4,6.3,16.4,7.7,10.5,4.7,7.0,3.4,14.2,0.7,49.6
